coupon_id,owner_id,category_id,brand_id,discount_type,discount_value,minimum_purchase,issue_date,expiry_date,coupon_value,status,city,source,transferable,validity_duration_days,effective_discount_pct,total_views_count,avg_view_duration,total_requests_count,total_usage_count,swap_offered_count,swap_requested_count,request_conversion_rate
CP0001,U0229,CAT09,B031,percentage,71.4,0,2024-01-14,2024-05-18,1353.32,claimed,Pune,earned,yes,125,71.4,1,163.0,0,0,0,0,0.0
CP0002,U0498,CAT03,B009,percentage,30.8,1999,2024-07-08,2025-03-06,2969.15,claimed,Chandigarh,earned,no,241,30.8,5,112.0,0,1,0,0,0.0
CP0003,U0244,CAT09,B032,flat,400.0,299,2024-08-09,2025-01-06,440.83,swapped,Delhi,gifted,yes,150,90.74,3,260.33,0,0,0,0,0.0
CP0004,U0065,CAT02,B008,percentage,78.8,0,2023-08-05,2023-12-11,2145.71,swapped,Bhopal,purchased,yes,128,78.8,3,216.33,0,0,0,0,0.0
CP0005,U0199,CAT10,B035,percentage,59.5,999,2023-03-10,2023-05-23,2016.91,available,Jaipur,gifted,yes,74,59.5,3,165.33,1,0,0,0,0.3333
CP0006,U0299,CAT10,B036,percentage,16.2,1999,2024-08-03,2025-06-30,4825.92,available,Hyderabad,earned,yes,331,16.2,0,0.0,0,0,0,0,0.0
CP0007,U0249,CAT05,B019,flat,200.0,999,2024-01-28,2025-01-27,3064.36,available,Jaipur,gifted,no,365,6.53,1,191.0,1,0,0,0,1.0
CP0008,U0026,CAT01,B004,flat,250.0,1499,2024-12-08,2025-05-08,2402.33,available,Kochi,purchased,no,151,10.41,0,0.0,1,0,0,0,0.0
CP0009,U0154,CAT05,B019,flat,75.0,1499,2023-08-22,2023-11-28,2243.4,expired,Jaipur,earned,yes,98,3.34,2,190.0,0,0,0,0,0.0
CP0010,U0445,CAT04,B016,percentage,66.8,299,2024-05-11,2025-03-01,4114.04,claimed,Chennai,purchased,no,294,66.8,2,124.0,0,0,0,0,0.0
CP0011,U0128,CAT03,B009,percentage,70.6,0,2023-07-25,2023-09-22,2309.42,swapped,Kolkata,purchased,no,59,70.6,4,158.25,1,0,0,0,0.25
CP0012,U0191,CAT09,B031,percentage,14.3,499,2023-02-01,2023-07-04,2990.52,available,Nagpur,earned,no,153,14.3,4,256.25,0,0,0,0,0.0
CP0013,U0146,CAT06,B021,flat,200.0,0,2024-12-06,2025-02-20,1963.5,available,Patna,earned,yes,76,10.19,5,206.8,0,0,0,0,0.0
CP0014,U0263,CAT04,B014,flat,200.0,0,2024-10-29,2025-06-25,4329.92,swapped,Mumbai,gifted,yes,239,4.62,3,147.67,0,0,0,0,0.0
CP0015,U0141,CAT03,B009,percentage,50.6,499,2023-11-09,2024-11-02,4482.64,swapped,Indore,purchased,no,359,50.6,3,149.33,1,1,0,1,0.3333
CP0016,U0288,CAT05,B020,percentage,5.6,1499,2024-11-09,2025-06-18,2989.17,available,Hyderabad,gifted,no,221,5.6,1,191.0,1,1,0,0,1.0
