swap_id,proposer_id,receiver_id,offered_coupon_id,requested_coupon_id,value_difference,value_ratio,category_match,brand_match,proposer_avg_rating,receiver_avg_rating,swap_turnaround_hours,swap_status
SW0001,U0126,U0054,CP0343,CP1779,3917.32,11.9643,0,0,4.0,4.0,,cancelled
SW0002,U0190,U0426,CP1511,CP1600,505.52,1.1196,0,0,4.0,5.0,29.0,accepted
SW0003,U0001,U0026,CP1210,CP0792,16.23,0.9959,0,0,3.0,4.0,11.0,accepted
SW0004,U0179,U0204,CP1210,CP0053,419.55,0.9035,0,0,3.0,4.67,,rejected
SW0005,U0429,U0388,CP1350,CP1654,569.52,1.1962,0,0,3.0,2.0,34.0,completed
SW0006,U0478,U0200,CP1815,CP0863,2920.54,0.2021,0,0,2.5,3.0,,rejected
SW0007,U0354,U0259,CP0800,CP1571,1466.11,1.8018,0,0,5.0,4.5,61.0,completed
SW0008,U0446,U0235,CP1074,CP0416,882.08,2.5007,0,0,3.0,4.0,55.0,completed
SW0009,U0472,U0420,CP1491,CP1706,2361.67,0.3674,0,0,3.0,2.0,60.0,completed
SW0010,U0206,U0159,CP0056,CP1629,2840.28,0.3351,0,0,4.0,3.67,46.0,accepted
SW0011,U0175,U0262,CP1606,CP0470,1925.79,2.7695,0,0,3.0,3.0,,rejected
SW0012,U0029,U0218,CP2337,CP1675,2901.5,3.9455,1,0,2.0,3.0,,rejected
SW0013,U0307,U0116,CP0753,CP1151,294.37,2.2452,1,1,3.0,3.0,,cancelled
SW0014,U0476,U0080,CP0929,CP1276,485.01,1.179,0,0,4.0,5.0,23.0,accepted
SW0015,U0258,U0467,CP1293,CP0343,2352.91,0.4496,0,0,4.5,3.0,,rejected
SW0016,U0366,U0270,CP0845,CP2036,2066.24,0.4368,0,0,3.0,5.0,57.0,completed
SW0017,U0230,U0324,CP1187,CP0284,2994.56,0.1061,0,0,3.0,3.33,,rejected
SW0018,U0115,U0360,CP1013,CP1700,707.15,3.5823,0,0,2.0,4.0,15.0,completed
SW0019,U0028,U0491,CP1925,CP2204,392.56,0.8918,0,0,3.0,5.0,,cancelled
SW0020,U0197,U0397,CP0185,CP1508,992.04,0.1488,0,0,1.5,3.0,5.0,accepted
SW0021,U0105,U0170,CP2244,CP0409,2963.23,0.0867,0,0,4.0,3.5,,rejected
SW0022,U0472,U0159,CP2213,CP0227,599.99,1.2228,0,0,3.0,3.67,14.0,completed
SW0023,U0262,U0435,CP1277,CP1566,880.78,0.1911,0,0,3.0,3.0,,rejected
SW0024,U0193,U0004,CP2143,CP1520,778.2,0.798,0,0,3.0,4.0,,cancelled
SW0025,U0157,U0221,CP0106,CP0836,1794.19,1.7848,0,0,3.0,3.0,,cancelled
SW0026,U0339,U0087,CP1160,CP0534,1824.11,1.8638,0,0,2.0,3.5,52.0,completed
SW0027,U0092,U0074,CP2046,CP0404,2869.21,0.0937,0,0,1.0,5.0,,cancelled
SW0028,U0045,U0235,CP0917,CP1681,2152.87,0.3944,1,0,3.0,4.0,,rejected
SW0029,U0223,U0215,CP1873,CP0949,2739.31,4.7047,1,0,3.0,3.0,,cancelled
SW0030,U0194,U0469,CP0182,CP2003,309.83,0.9215,0,0,3.0,3.0,,cancelled
SW0031,U0349,U0254,CP0669,CP0801,1195.47,0.6439,0,0,2.0,2.33,,rejected
SW0032,U0212,U0039,CP1061,CP1884,1627.38,0.5549,0,0,3.0,2.0,46.0,completed
SW0033,U0355,U0412,CP1924,CP0485,723.55,0.7559,0,0,3.0,4.0,,rejected
SW0034,U0460,U0081,CP0647,CP1619,2226.81,0.4736,0,0,3.0,3.0,,proposed
SW0035,U0419,U0101,CP1047,CP2386,1565.25,1.6779,0,0,4.0,4.0,58.0,completed
SW0036,U0090,U0138,CP1076,CP2437,921.22,1.2456,0,0,3.0,3.0,,cancelled
SW0037,U0221,U0139,CP2204,CP0754,764.99,1.2672,1,1,3.0,3.5,,rejected
SW0038,U0410,U0269,CP0300,CP0106,3468.13,0.15,0,0,5.0,5.0,62.0,completed
SW0039,U0263,U0415,CP0291,CP2303,3076.63,0.3611,0,0,3.0,1.0,3.0,accepted
SW0040,U0252,U0007,CP0906,CP0980,505.81,0.8738,0,0,5.0,5.0,51.0,completed
SW0041,U0392,U0214,CP1980,CP0039,1149.27,0.1025,0,0,3.0,3.0,,rejected
SW0042,U0332,U0429,CP0165,CP2184,314.87,1.0774,0,0,5.0,3.0,69.0,completed
SW0043,U0103,U0280,CP1579,CP0236,1408.16,0.6355,0,0,3.0,2.0,,rejected
SW0044,U0354,U0094,CP1260,CP2244,4262.1,16.1525,0,0,5.0,3.0,,cancelled
SW0045,U0214,U0381,CP2343,CP0355,191.27,0.8879,0,0,3.0,2.0,,proposed
SW0046,U0007,U0485,CP2223,CP2411,1918.49,2.7913,0,0,5.0,3.0,,rejected
SW0047,U0271,U0198,CP0873,CP2276,1197.4,1.9199,0,0,3.0,1.0,34.0,completed
SW0048,U0029,U0415,CP1215,CP1098,1395.56,0.617,0,0,2.0,1.0,,proposed
SW0049,U0039,U0204,CP1663,CP0401,2344.07,15.9886,0,0,2.0,4.67,51.0,accepted
SW0050,U0103,U0169,CP1164,CP2157,289.57,1.0621,0,0,3.0,1.0,,rejected
SW0051,U0046,U0324,CP0053,CP1192,2895.73,2.9956,0,0,3.0,3.33,66.0,completed
SW0052,U0288,U0471,CP0025,CP1290,2700.46,4.8609,0,0,3.0,2.0,34.0,completed
SW0053,U0446,U0349,CP2387,CP2142,1.07,0.9998,0,0,3.0,2.0,47.0,completed
SW0054,U0272,U0364,CP1037,CP0220,3619.89,3.6615,0,0,2.5,2.0,65.0,accepted
SW0055,U0236,U0035,CP0883,CP2207,2345.64,4.6864,0,0,3.0,3.0,59.0,completed
SW0056,U0291,U0354,CP0942,CP1387,1293.49,0.344,0,0,3.0,5.0,35.0,completed
SW0057,U0173,U0405,CP2218,CP0096,965.2,0.281,0,0,3.0,3.0,,rejected
SW0058,U0465,U0416,CP0829,CP0255,1711.02,1.9049,0,0,3.0,2.5,,cancelled
SW0059,U0068,U0204,CP0307,CP1137,323.17,1.1036,0,0,5.0,4.67,67.0,completed
SW0060,U0088,U0426,CP1209,CP1508,2686.16,3.3048,0,0,2.0,5.0,55.0,completed
SW0061,U0117,U0224,CP0878,CP0193,165.26,1.217,0,0,1.0,4.0,,rejected
SW0062,U0265,U0471,CP0344,CP1686,2438.47,0.3726,0,0,3.0,2.0,56.0,accepted
SW0063,U0118,U0452,CP0366,CP1888,2618.17,4.6307,1,0,3.33,2.0,72.0,accepted
SW0064,U0428,U0181,CP1622,CP2258,299.3,1.3351,0,0,3.0,2.0,43.0,completed
SW0065,U0230,U0021,CP0246,CP0470,3288.95,4.022,0,0,3.0,3.0,,rejected
SW0066,U0431,U0362,CP0993,CP1109,1499.84,1.7341,0,0,1.0,3.0,20.0,accepted
SW0067,U0313,U0091,CP0824,CP1319,3061.56,2.7069,0,0,3.0,3.0,,rejected
SW0068,U0437,U0123,CP1073,CP0797,1369.14,0.5923,0,0,2.5,3.0,12.0,accepted
SW0069,U0397,U0409,CP0709,CP0068,91.15,1.0294,0,0,3.0,2.0,,cancelled
SW0070,U0250,U0159,CP0528,CP0283,3073.72,2.7806,0,0,4.0,3.67,1.0,accepted
SW0071,U0195,U0260,CP0766,CP2175,885.53,1.2213,0,0,2.67,1.5,66.0,completed
SW0072,U0230,U0018,CP0582,CP1035,358.98,0.8024,0,0,3.0,3.0,,rejected
SW0073,U0409,U0353,CP1341,CP0956,2482.63,2.275,0,0,2.0,3.0,,cancelled
SW0074,U0241,U0204,CP2395,CP0228,1931.43,0.5225,0,0,1.0,4.67,,rejected
SW0075,U0393,U0493,CP2365,CP1580,821.95,0.769,0,0,1.0,3.0,,proposed
SW0076,U0239,U0157,CP1081,CP0934,3235.97,2.9142,0,0,5.0,3.0,29.0,completed
SW0077,U0143,U0188,CP2019,CP0291,493.49,1.2837,0,0,3.0,3.0,,rejected
SW0078,U0482,U0441,CP1486,CP1745,334.29,0.9029,0,0,2.0,3.67,3.0,accepted
SW0079,U0209,U0349,CP0333,CP0071,2114.09,0.4977,0,0,3.0,2.0,32.0,completed
SW0080,U0351,U0084,CP0873,CP0285,2301.88,12.677,0,0,3.0,3.0,30.0,accepted
SW0081,U0456,U0205,CP2036,CP0654,894.94,0.8039,0,0,3.0,3.0,,rejected
SW0082,U0226,U0118,CP0161,CP2224,49.92,0.9828,0,0,3.0,3.33,,proposed
SW0083,U0102,U0177,CP0118,CP0850,2597.11,26.5546,0,0,3.0,4.5,17.0,completed
SW0084,U0023,U0206,CP0598,CP2081,3307.48,0.1853,0,0,3.0,4.0,68.0,completed
SW0085,U0382,U0005,CP1125,CP0560,797.43,1.2663,1,1,3.67,3.0,13.0,accepted
SW0086,U0322,U0040,CP1765,CP2154,3934.54,13.3732,0,0,4.0,3.67,21.0,completed
SW0087,U0038,U0418,CP0268,CP1281,2299.56,2.2769,0,0,1.0,2.5,64.0,completed
SW0088,U0282,U0178,CP2164,CP1850,1243.84,1.7179,0,0,2.0,3.33,50.0,accepted
SW0089,U0194,U0481,CP1977,CP1756,89.4,1.0431,0,0,3.0,3.0,,cancelled
SW0090,U0272,U0066,CP0851,CP0224,1007.32,1.5924,0,0,2.5,1.5,,cancelled
SW0091,U0107,U0243,CP0060,CP0985,1205.33,0.7399,1,0,2.0,3.0,,cancelled
SW0092,U0408,U0253,CP1191,CP1773,1530.23,0.5263,0,0,3.0,1.0,30.0,completed
SW0093,U0260,U0341,CP1400,CP0070,2224.01,0.2828,0,0,1.5,1.0,48.0,completed
SW0094,U0345,U0231,CP0126,CP1159,246.42,1.1127,0,0,3.5,4.0,45.0,accepted
SW0095,U0130,U0084,CP2286,CP1007,282.95,1.0607,0,0,3.0,3.0,,rejected
SW0096,U0277,U0488,CP1964,CP1041,4383.05,24.9315,0,0,1.0,5.0,35.0,accepted
SW0097,U0120,U0440,CP2228,CP0184,1677.56,1.8879,0,0,2.0,3.0,,rejected
SW0098,U0352,U0404,CP1865,CP2420,416.87,1.2102,0,0,2.5,1.0,66.0,completed
SW0099,U0303,U0262,CP0952,CP0028,331.43,0.8987,0,0,3.0,3.0,,cancelled
SW0100,U0390,U0426,CP1744,CP0203,510.93,1.1567,0,0,3.0,5.0,,cancelled
SW0101,U0396,U0367,CP1920,CP1506,969.64,1.4423,0,0,3.0,3.5,30.0,completed
SW0102,U0338,U0362,CP2417,CP2263,459.54,0.8296,0,0,2.0,3.0,,cancelled
SW0103,U0232,U0392,CP1736,CP0037,751.53,0.6106,1,0,3.0,3.0,,cancelled
SW0104,U0093,U0247,CP0164,CP2418,2671.62,2.5077,0,0,1.0,5.0,43.0,completed
SW0105,U0150,U0379,CP2153,CP2397,1099.4,0.3791,0,0,3.0,3.0,,cancelled
SW0106,U0324,U0101,CP0886,CP2106,3211.4,4.7654,0,0,3.33,4.0,47.0,completed
SW0107,U0112,U0478,CP1684,CP0948,1616.93,0.6675,0,0,3.0,2.5,50.0,accepted
SW0108,U0254,U0259,CP0167,CP1057,3139.61,3.2692,0,0,2.33,4.5,71.0,completed
