user_id,age,gender,city,state,account_created_date,preferred_discount_min,preferred_discount_max,activity_level,preferred_discount_range,total_views_count,avg_view_duration,total_requests_count,accepted_requests_count,total_usage_count,swaps_proposed_count,swaps_received_count,avg_rating_received,ratings_count,total_preferences_count,swaps_completed_count
U0001,33,Male,Jaipur,Rajasthan,2022-07-29,12,23,medium,11,8,164.25,3,2,2,1,2,3.0,2,4,2
U0002,45,Male,Patna,Bihar,2022-07-11,39,54,low,15,15,166.47,4,2,5,0,1,0.0,0,3,0
U0003,53,Male,Mumbai,Maharashtra,2024-05-09,37,85,low,48,13,176.08,1,0,2,0,2,0.0,0,2,0
U0004,62,Male,Chennai,Tamil Nadu,2023-07-24,22,32,low,10,17,154.0,5,2,4,1,3,4.0,1,4,1
U0005,42,Male,Bengaluru,Karnataka,2023-12-06,26,42,medium,16,10,127.4,4,0,1,1,1,0.0,0,2,1
U0006,25,Other,Coimbatore,Tamil Nadu,2024-02-15,7,46,low,39,11,173.91,3,0,1,1,0,0.0,0,4,1
U0007,41,Female,Vadodara,Gujarat,2022-05-23,23,73,low,50,9,158.78,1,0,5,2,2,5.0,1,3,3
U0008,32,Female,Bengaluru,Karnataka,2024-02-18,19,47,medium,28,18,199.61,4,0,1,0,0,0.0,0,3,0
U0009,40,Male,Kochi,Kerala,2023-07-01,28,48,medium,20,8,113.5,3,2,4,1,2,2.0,2,3,2
U0010,52,Female,Chennai,Tamil Nadu,2022-12-01,9,57,medium,48,13,180.0,3,2,3,0,3,3.0,1,4,1
U0011,32,Female,Coimbatore,Tamil Nadu,2022-04-25,22,72,low,50,12,125.67,4,0,1,0,0,0.0,0,2,0
U0012,35,Male,Chandigarh,Punjab,2023-10-07,7,37,low,30,10,138.5,4,1,0,1,0,0.0,0,1,1
U0013,27,Male,Indore,Madhya Pradesh,2023-05-21,36,71,medium,35,13,146.54,2,1,1,2,1,1.67,3,1,3
U0014,45,Female,Patna,Bihar,2024-03-28,39,65,medium,26,11,184.0,3,1,1,1,0,1.0,1,4,1
U0015,23,Female,Nagpur,Maharashtra,2022-08-13,13,55,low,42,9,156.11,4,1,3,1,1,5.0,1,4,1
U0016,22,Male,Vadodara,Gujarat,2024-08-16,15,52,medium,37,14,169.43,2,0,1,0,1,0.0,0,4,0
U0017,61,Female,Hyderabad,Telangana,2023-07-01,40,50,high,10,14,198.64,1,0,4,0,0,0.0,0,3,0
U0018,45,Male,Lucknow,Uttar Pradesh,2022-01-07,26,43,high,17,15,129.73,2,1,1,1,2,3.0,1,4,1
U0019,50,Female,Chennai,Tamil Nadu,2023-09-04,21,63,high,42,9,163.89,3,2,2,2,0,5.0,1,3,1
U0020,27,Male,Kolkata,West Bengal,2022-11-27,37,85,medium,48,6,186.83,1,0,1,1,0,0.0,0,3,0
U0021,38,Female,Vadodara,Gujarat,2022-08-18,38,48,high,10,8,131.5,3,1,3,1,1,0.0,0,2,1
U0022,33,Female,Delhi,Delhi,2022-06-11,24,49,low,25,13,211.23,3,0,0,0,0,0.0,0,3,0
U0023,26,Male,Coimbatore,Tamil Nadu,2024-08-31,36,50,high,14,4,115.0,4,1,1,4,0,0.0,0,1,2
U0024,56,Male,Visakhapatnam,Andhra Pradesh,2023-03-10,15,41,high,26,4,137.0,3,0,3,0,1,0.0,0,1,0
U0025,60,Female,Chandigarh,Punjab,2024-06-16,17,46,high,29,7,155.14,6,1,2,2,0,4.0,2,1,2
U0026,32,Male,Pune,Maharashtra,2022-02-13,33,50,medium,17,10,158.8,3,1,1,1,2,4.0,1,3,2
U0027,18,Male,Pune,Maharashtra,2022-05-01,19,66,low,47,16,178.69,2,0,3,1,1,2.0,1,1,2
U0028,50,Male,Bengaluru,Karnataka,2024-09-21,7,38,low,31,8,159.0,2,0,2,1,0,0.0,0,3,0
U0029,48,Male,Patna,Bihar,2024-08-26,13,59,high,46,17,172.65,6,3,0,4,1,2.0,1,1,1
U0030,60,Male,Hyderabad,Telangana,2024-05-17,17,33,medium,16,10,160.3,3,0,0,0,1,0.0,0,3,0
U0031,43,Female,Delhi,Delhi,2022-08-12,8,24,low,16,12,126.17,3,2,2,1,1,4.0,1,3,2
U0032,26,Male,Indore,Madhya Pradesh,2023-07-25,17,61,medium,44,8,190.0,5,2,3,1,1,0.0,0,3,0
U0033,24,Male,Coimbatore,Tamil Nadu,2022-01-31,9,47,high,38,13,128.0,1,0,2,0,1,0.0,0,2,0
U0034,49,Female,Bhopal,Madhya Pradesh,2024-04-01,20,40,high,20,12,149.5,2,0,2,1,0,0.0,0,4,0
U0035,42,Male,Mumbai,Maharashtra,2024-07-20,15,49,medium,34,9,171.44,5,3,2,2,2,0.0,0,3,1
U0036,30,Male,Ahmedabad,Gujarat,2022-04-30,40,81,medium,41,8,230.88,5,2,1,2,0,4.0,1,1,2
U0037,21,Male,Surat,Gujarat,2024-09-03,39,52,medium,13,10,145.6,3,1,2,2,1,5.0,1,4,1
U0038,50,Male,Delhi,Delhi,2023-01-16,38,58,low,20,11,191.64,5,3,1,3,1,1.0,1,2,2
U0039,25,Female,Chandigarh,Punjab,2023-05-20,9,34,medium,25,15,135.6,1,0,4,2,1,2.0,1,3,2
U0040,44,Female,Bengaluru,Karnataka,2024-12-06,7,56,medium,49,13,129.15,5,2,1,1,2,3.67,3,4,3
U0041,33,Male,Surat,Gujarat,2022-09-26,21,44,medium,23,17,163.53,1,0,2,0,1,1.0,1,2,1
